序号	汉字	级别	GB/T 13000	GB 18030
583	妈	1	5988	C2E8
584	戏	1	620F	CFB7
585	羽	1	7FBD	D3F0
586	观	1	89C2	B9DB
587	欢	1	6B22	BBB6
588	买	1	4E70	C2F2
589	红	1	7EA2	BAEC
590	驮	1	9A6E	CDD4
591	纤	1	7EA4	CFCB
592	驯	1	9A6F	D1B1
593	约	1	7EA6	D4BC
594	级	1	7EA7	BCB6
595	纪	1	7EAA	BCCD
596	驰	1	9A70	B3DB
597	纫	1	7EAB	C8D2
598	巡	1	5DE1	D1B2
599	寿	1	5BFF	CAD9
600	弄	1	5F04	C5AA
601	麦	1	9EA6	C2F3
602	玖	1	7396	BEC1
603	玛	1	739B	C2EA
604	形	1	5F62	D0CE
605	进	1	8FDB	BDF8
606	戒	1	6212	BDE4
607	吞	1	541E	CDCC
608	远	1	8FDC	D4B6
609	违	1	8FDD	CEA5
610	韧	1	97E7	C8CD
611	运	1	8FD0	D4CB
612	扶	1	6276	B7F6
613	抚	1	629A	B8A7
614	坛	1	575B	CCB3
615	技	1	6280	BCBC
616	坏	1	574F	BBB5
617	抠	1	62A0	BFD9
618	扰	1	6270	C8C5
619	扼	1	627C	B6F3
620	拒	1	62D2	BEDC
621	找	1	627E	D5D2
622	批	1	6279	C5FA
623	址	1	5740	D6B7
624	扯	1	626F	B3B6
625	走	1	8D70	D7DF
626	抄	1	6284	B3AD
627	贡	1	8D21	B9B1
628	汞	1	6C5E	B9AF
629	坝	1	575D	B0D3
630	攻	1	653B	B9A5
631	赤	1	8D64	B3E0
632	折	1	6298	D5DB
633	抓	1	6293	D7A5
634	扳	1	6273	B0E2
635	抡	1	62A1	C2D5
636	扮	1	626E	B0E7
637	抢	1	62A2	C7C0
638	孝	1	5B5D	D0A2
639	坎	1	574E	BFB2
640	均	1	5747	BEF9
641	抑	1	6291	D2D6
642	抛	1	629B	C5D7
643	投	1	6295	CDB6
644	坟	1	575F	B7D8
645	坑	1	5751	BFD3
646	抗	1	6297	BFB9
647	坊	1	574A	B7BB
648	抖	1	6296	B6B6
649	护	1	62A4	BBA4
650	壳	1	58F3	BFC7
651	志	1	5FD7	D6BE
652	块	1	5757	BFE9
653	扭	1	626D	C5A4
654	声	1	58F0	C9F9
655	把	1	628A	B0D1
656	报	1	62A5	B1A8
657	拟	1	62DF	C4E2
658	却	1	5374	C8B4
659	抒	1	6292	CAE3
660	劫	1	52AB	BDD9
661	芙	1	8299	DCBD
662	芜	1	829C	CEDF
663	苇	1	82C7	CEAD
664	芽	1	82BD	D1BF
665	花	1	82B1	BBA8
666	芹	1	82B9	C7DB
667	芥	1	82A5	BDE6
668	芬	1	82AC	B7D2
669	苍	1	82CD	B2D4
670	芳	1	82B3	B7BC
671	严	1	4E25	D1CF
672	芦	1	82A6	C2AB
673	芯	1	82AF	D0BE
674	劳	1	52B3	C0CD
675	克	1	514B	BFCB
676	芭	1	82AD	B0C5
677	苏	1	82CF	CBD5
678	杆	1	6746	B8CB
679	杠	1	6760	B8DC
680	杜	1	675C	B6C5
681	材	1	6750	B2C4
682	村	1	6751	B4E5
683	杖	1	6756	D5C8
684	杏	1	674F	D0D3
685	杉	1	6749	C9BC
686	巫	1	5DEB	CED7
687	极	1	6781	BCAB
688	李	1	674E	C0EE
689	杨	1	6768	D1EE
690	求	1	6C42	C7F3
691	甫	1	752B	B8A6
692	匣	1	5323	CFBB
693	更	1	66F4	B8FC
694	束	1	675F	CAF8
695	吾	1	543E	CEE1
696	豆	1	8C46	B6B9
697	两	1	4E24	C1BD
698	酉	1	9149	D3CF
699	丽	1	4E3D	C0F6
700	医	1	533B	D2BD
701	辰	1	8FB0	B3BD
702	励	1	52B1	C0F8
703	否	1	5426	B7F1
704	还	1	8FD8	BBB9
705	尬	1	5C2C	DECE
706	歼	1	6B7C	BCDF
707	来	1	6765	C0B4
708	连	1	8FDE	C1AC
709	轩	1	8F69	D0F9
710	步	1	6B65	B2BD
711	卤	1	5364	C2B1
712	坚	1	575A	BCE1
713	肖	1	8096	D0A4
714	旱	1	65F1	BAB5
715	盯	1	76EF	B6A2
716	呈	1	5448	B3CA
717	时	1	65F6	CAB1
718	吴	1	5434	CEE2
719	助	1	52A9	D6FA
720	县	1	53BF	CFD8
721	里	1	91CC	C0EF
722	呆	1	5446	B4F4
723	吱	1	5431	D6A8
724	吠	1	5420	B7CD
725	呕	1	5455	C5BB
726	园	1	56ED	D4B0
727	旷	1	65F7	BFF5
728	围	1	56F4	CEA7
729	呀	1	5440	D1BD
730	吨	1	5428	B6D6
731	足	1	8DB3	D7E3
732	邮	1	90AE	D3CA
733	男	1	7537	C4D0
734	困	1	56F0	C0A7
735	吵	1	5435	B3B3
736	串	1	4E32	B4AE
737	员	1	5458	D4B1
738	呐	1	5450	C4C5
739	听	1	542C	CCFD
740	吟	1	541F	D2F7
741	吩	1	5429	B7D4
742	呛	1	545B	C7BA
743	吻	1	543B	CEC7
744	吹	1	5439	B4B5
745	呜	1	545C	CED8
746	吭	1	542D	BFD4
747	吧	1	5427	B0C9
748	邑	1	9091	D2D8
749	吼	1	543C	BAF0
750	囤	1	56E4	B6DA
751	别	1	522B	B1F0
752	吮	1	542E	CBB1
753	岖	1	5C96	E1AB
754	岗	1	5C97	B8DA
755	帐	1	5E10	D5CA
756	财	1	8D22	B2C6
757	针	1	9488	D5EB
758	钉	1	9489	B6A4
759	牡	1	7261	C4B5
760	告	1	544A	B8E6
761	我	1	6211	CED2
762	乱	1	4E71	C2D2
763	利	1	5229	C0FB
764	秃	1	79C3	CDBA
765	秀	1	79C0	D0E3
766	私	1	79C1	CBBD
767	每	1	6BCF	C3BF
768	兵	1	5175	B1F8
769	估	1	4F30	B9C0
770	体	1	4F53	CCE5
771	何	1	4F55	BACE
772	佐	1	4F50	D7F4
773	佑	1	4F51	D3D3
774	但	1	4F46	B5AB
775	伸	1	4F38	C9EC
776	佃	1	4F43	B5E8
777	作	1	4F5C	D7F7
778	伯	1	4F2F	B2AE
779	伶	1	4F36	C1E6
780	佣	1	4F63	D3B6
781	低	1	4F4E	B5CD
782	你	1	4F60	C4E3
783	住	1	4F4F	D7A1
784	位	1	4F4D	CEBB
785	伴	1	4F34	B0E9
786	身	1	8EAB	C9ED
787	皂	1	7682	D4ED
788	伺	1	4F3A	CBC5
789	佛	1	4F5B	B7F0
790	囱	1	56F1	B4D1
791	近	1	8FD1	BDFC
792	彻	1	5F7B	B3B9
793	役	1	5F79	D2DB
794	返	1	8FD4	B7B5
795	余	1	4F59	D3E0
796	希	1	5E0C	CFA3
797	坐	1	5750	D7F8
798	谷	1	8C37	B9C8
799	妥	1	59A5	CDD7
800	含	1	542B	BAAC
801	邻	1	90BB	C1DA
802	岔	1	5C94	B2ED
803	肝	1	809D	B8CE
804	肛	1	809B	B8D8
805	肚	1	809A	B6C7
806	肘	1	8098	D6E2
807	肠	1	80A0	B3A6
808	龟	1	9F9F	B9EA
809	甸	1	7538	B5E9
810	免	1	514D	C3E2
811	狂	1	72C2	BFF1
812	犹	1	72B9	D3CC
813	狈	1	72C8	B1B7
814	角	1	89D2	BDC7
815	删	1	5220	C9BE
816	条	1	6761	CCF5
817	彤	1	5F64	CDAE
818	卵	1	5375	C2D1
819	灸	1	7078	BEC4
820	岛	1	5C9B	B5BA
821	刨	1	5228	C5D9
822	迎	1	8FCE	D3AD
823	饭	1	996D	B7B9
824	饮	1	996E	D2FB
825	系	1	7CFB	CFB5
826	言	1	8A00	D1D4
827	冻	1	51BB	B6B3
828	状	1	72B6	D7B4
829	亩	1	4EA9	C4B6
830	况	1	51B5	BFF6
831	床	1	5E8A	B4B2
832	库	1	5E93	BFE2
833	庇	1	5E87	B1D3
834	疗	1	7597	C1C6
835	吝	1	541D	C1DF
836	应	1	5E94	D3A6
837	这	1	8FD9	D5E2
838	冷	1	51B7	C0E4
839	庐	1	5E90	C2AE
840	序	1	5E8F	D0F2
841	辛	1	8F9B	D0C1
842	弃	1	5F03	C6FA
843	冶	1	51B6	D2B1
844	忘	1	5FD8	CDFC
845	闰	1	95F0	C8F2
846	闲	1	95F2	CFD0
847	间	1	95F4	BCE4
848	闷	1	95F7	C3C6
849	判	1	5224	C5D0
850	兑	1	5151	B6D2
851	灶	1	7076	D4EE
852	灿	1	707F	B2D3
853	灼	1	707C	D7C6
854	弟	1	5F1F	B5DC
855	汪	1	6C6A	CDF4
856	沐	1	6C90	E3E5
857	沛	1	6C9B	C5E6
858	汰	1	6C70	CCAD
859	沥	1	6CA5	C1A4
860	沙	1	6C99	C9B3
861	汽	1	6C7D	C6FB
862	沃	1	6C83	CED6
863	沦	1	6CA6	C2D9
864	汹	1	6C79	D0DA
865	泛	1	6CDB	B7BA
866	沧	1	6CA7	B2D7
867	没	1	6CA1	C3BB
